Release Date,Model,Family,Discontinued
"November 12, 2013",iPad Mini 2with Retina display (16 GB),iPad,"September 7, 2016"
"December 19, 2013",Mac Pro(Late 2013),Mac Pro,"December 10, 2019"
"March 18, 2014",iPhone 5C(8 GB),iPhone,"September 9, 2015"
"April 29, 2014",MacBook Air(Early 2014),MacBook Air,"March 9, 2015"
"June 18, 2014","iMac(21.5-inch, Mid 2014)",iMac,"June 5, 2017"
"June 26, 2014","iPod Touch 16GB (5th generation, Mid 2013)",iPod Touch,"July 15, 2015"
"July 29, 2014","MacBook Pro(Retina, Mid 2014)",MacBook Pro,"March 9, 2015"
"September 19, 2014",iPhone 6(16 & 64 GB),iPhone,"September 7, 2016"
"October 16, 2014","iMac(Retina 5K, 27-inch, Late 2014)",iMac,"October 13, 2015"
"October 22, 2014",iPad Air 2(16 & 64 GB),iPad,"September 7, 2016"
"March 9, 2015","MacBook Air(13-inch, Early 2015)",MacBook Air,"June 5, 2017"
"April 10, 2015","MacBook(Retina, 12-inch, Early 2015)",MacBook,"April 19, 2016"
"April 24, 2015",Apple Watch(1st generation),Apple Watch,"September 7, 2016"
"May 19, 2015","MacBook Pro(Retina, 15-inch, Mid 2015)",MacBook Pro,"July 12, 2018"
"July 15, 2015",iPod Touch (6th generation)(32 GB and 128 GB),iPod Touch,"May 28, 2019"
"September 9, 2015",iPad Mini 4(16 GB and 64 GB),iPad,"September 7, 2016"
"September 25, 2015",iPhone 6S(16GB and 64GB),iPhone,"September 7, 2016"
"October 13, 2015","iMac(21.5-inch, Late 2015)",iMac,"June 5, 2017"
"October 30, 2015",Apple TVHD (previously Apple TV (4th generation)) (32 GB),Apple TV,"October 18, 2022"
"November 11, 2015",iPad Pro(12.9-inch) (32 and 128 GB),iPad,"June 5, 2017"
"March 31, 2016",iPad Pro(9.7-inch),iPad,"June 5, 2017"
"April 19, 2016","MacBook(Retina, 12-inch, Early 2016)",MacBook,"June 5, 2017"
"September 7, 2016",iPad Air 2(32 GB),iPad,"March 21, 2017"
"September 16, 2016",iPhone 7(32 & 128 GB),iPhone,"September 10, 2019"
"October 27, 2016","MacBook Pro(13-inch, 2016, Two Thunderbolt 3 ports)",MacBook Pro,"June 5, 2017"
"October 28, 2016",Apple Watch Nike+ Series 2,Apple Watch,"September 12, 2017"
"December 19, 2016",AirPods(1st generation),Headphones,"March 20, 2019"
"March 10, 2017",iPhone 6(32 GB),iPhone,"September 12, 2018"
"March 21, 2017",iPhone SE (1st generation)(32 GB and 128 GB),iPhone,"September 12, 2018"
"March 24, 2017",iPad (5th generation),iPad,"March 27, 2018"
"June 5, 2017",iPad Pro(12.9-inch) (2nd generation),iPad,"November 7, 2018"
"September 22, 2017",Apple TV 4K(1st generation),Apple TV,"April 20, 2021"
"November 3, 2017",iPhone X,iPhone,"September 12, 2018"
"December 14, 2017",iMac Pro(2017),iMac,"March 5, 2021"
"February 9, 2018",HomePod(first generation),Speakers,"March 12, 2021"
"March 27, 2018",iPad (6th generation),iPad,"September 10, 2019"
"July 12, 2018","MacBook Pro(13-inch, 2018, Four Thunderbolt 3 ports)",MacBook Pro,"May 21, 2019"
"September 21, 2018",Apple Watch Series 4,Apple Watch,"September 10, 2019"
"October 26, 2018",iPhone XR(64 GB and 128 GB),iPhone,"September 14, 2021"
"October 30, 2018",Apple Pencil(2nd generation),iPad,current
"November 7, 2018",iPad Pro(11-inch) (1st generation),iPad,"March 18, 2020"
"March 18, 2019",iPad Air (3rd generation),iPad,"September 15, 2020"
